iter	Passed	Remaining
0	0	44
1	0	44
2	1	43
3	1	37
4	1	35
5	2	33
6	2	32
7	2	31
8	3	30
9	3	29
10	3	29
11	3	28
12	4	28
13	4	27
14	4	27
15	5	27
16	5	26
17	5	26
18	6	25
19	6	25
20	6	25
21	6	24
22	7	24
23	7	23
24	7	23
25	8	22
26	8	22
27	8	22
28	8	21
29	9	21
30	9	21
31	10	21
32	10	21
33	10	21
34	11	20
35	11	20
36	11	19
37	12	19
38	12	19
39	12	18
40	12	18
41	12	17
42	13	17
43	13	17
44	13	16
45	14	16
46	14	16
47	14	15
48	14	15
49	15	15
50	15	14
51	15	14
52	16	14
53	16	13
54	16	13
55	16	13
56	17	12
57	17	12
58	17	12
59	17	11
60	18	11
61	18	11
62	18	11
63	19	10
64	19	10
65	19	10
66	20	9
67	20	9
68	20	9
69	21	9
70	21	8
71	21	8
72	22	8
73	22	7
74	22	7
75	23	7
76	23	6
77	23	6
78	23	6
79	24	6
80	24	5
81	24	5
82	25	5
83	25	4
84	25	4
85	26	4
86	26	3
87	26	3
88	26	3
89	27	3
90	27	2
91	27	2
92	28	2
93	28	1
94	28	1
95	29	1
96	29	0
97	29	0
98	30	0
99	30	0
